SEDOL,Ticker,Holdings name,Shares,Market value*,% of fund*,Sector,Market,Security depository receipt type
2046251,AAPL,Apple Inc.,465562792,"$87,465,281,733.04 ",6.362010763,"Technology Hardware, Storage & Periphera",US,---
2588173,MSFT,Microsoft Corp.,231670551,"$75,932,339,795.76 ",5.523132762,Systems Software,US,---
2000019,AMZN,Amazon.com Inc.,271726243,"$37,500,938,796.43 ",2.727726608,Broadline Retail,US,---
2379504,NVDA,NVIDIA Corp.,73199052,"$36,127,392,114.60 ",2.62781818,Semiconductors,US,---
BYVY8G0,GOOGL,Alphabet Inc. Class A,185083258,"$25,202,787,241.86 ",1.83318913,Interactive Media & Services,US,---
B616C79,TSLA,Tesla Inc.,83923636,"$21,659,011,978.88 ",1.575423581,Automobile Manufacturers,US,---
BYY88Y7,GOOG,Alphabet Inc. Class C,155571813,"$21,367,788,515.55 ",1.554240698,Interactive Media & Services,US,---
B7TL820,META,Facebook Inc. Class A,68917653,"$20,392,044,346.17 ",1.483267452,Interactive Media & Services,US,---
2073390,BRK.B,Berkshire Hathaway Inc. Class B,55524718,"$20,000,003,423.60 ",1.454751354,Multi-Sector Holdings,US,---
2516152,LLY,Eli Lilly & Co.,26617388,"$14,751,356,429.60 ",1.072977603,Pharmaceuticals,US,---
2326618,XOM,Exxon Mobil Corp.,125975023,"$14,007,162,807.37 ",1.018846779,Integrated Oil & Gas,US,---
2917766,UNH,UnitedHealth Group Inc.,29005192,"$13,823,294,403.36 ",1.005472641,Managed Health Care,US,---
2190385,JPM,JPMorgan Chase & Co.,91058270,"$13,324,556,649.10 ",0.969195676,Diversified Banks,US,---
B2PZN04,V,Visa Inc. Class A,49979561,"$12,278,978,546.48 ",0.893142881,Transaction & Payment Processing Service,US,---
2475833,JNJ,Johnson & Johnson,75026723,"$12,130,320,574.64 ",0.882329863,Pharmaceuticals,US,---
BDZ78H9,AVGO,Broadcom Inc.,12989692,"$11,988,056,849.88 ",0.871981948,Semiconductors,US,---
2704407,PG,Procter & Gamble Co.,73441716,"$11,334,994,447.44 ",0.824479785,Household Products,US,---
B121557,MA,Mastercard Inc. Class A,26355076,"$10,875,158,560.64 ",0.791032447,Transaction & Payment Processing Service,US,---
2434209,HD,Home Depot Inc.,31323830,"$10,346,261,049 ",0.752561735,Home Improvement Retail,US,---
2838555,CVX,Chevron Corp.,56469853,"$9,097,293,318.30 ",0.661714875,Integrated Oil & Gas,US,---
2778844,MRK,Merck & Co. Inc.,79054395,"$8,615,347,967.10 ",0.626659349,Pharmaceuticals,US,---
B92SR70,ABBV,AbbVie Inc.,54964358,"$8,077,562,051.68 ",0.587542116,Biotechnology,US,---
2008154,ADBE,Adobe Inc.,14289354,"$7,992,607,266.36 ",0.581362713,Application Software,US,---
2681511,PEP,PepsiCo Inc.,42905400,"$7,633,728,768 ",0.555258768,Soft Drinks & Non-alcoholic Beverages,US,---
2701271,COST,Costco Wholesale Corp.,13816038,"$7,588,873,352.64 ",0.551996095,Consumer Staples Merchandise Retail,US,---
2936921,WMT,Walmart Inc.,46241910,"$7,519,396,985.10 ",0.546942554,Consumer Staples Merchandise Retail,US,---
2206657,KO,Coca-Cola Co.,121243253,"$7,253,983,826.99 ",0.527637049,Soft Drinks & Non-alcoholic Beverages,US,---
2886907,TMO,Thermo Fisher Scientific Inc.,12017199,"$6,694,781,562.90 ",0.486962044,Life Sciences Tools & Services,US,---
2198163,CSCO,Cisco Systems Inc./Delaware,114280237,"$6,553,971,591.95 ",0.476719871,Communications Equipment,US,---
2310525,CRM,Salesforce Inc.,29593314,"$6,553,735,318.44 ",0.476702685,Application Software,US,---
2550707,MCD,McDonald's Corp.,22759244,"$6,398,761,450.60 ",0.465430265,Restaurants,US,---
B4BNMY3,ACN,Accenture plc Class A,19676359,"$6,370,614,753.43 ",0.463382943,IT Consulting & Other Services,IE,---
2684703,PFE,Pfizer Inc.,175872059,"$6,222,353,447.42 ",0.452598778,Pharmaceuticals,US,---
2044545,CMCSA,Comcast Corp. Class A,129544996,"$6,057,524,012.96 ",0.440609488,Cable & Satellite,US,---
2295677,BAC,Bank of America Corp.,211056561,"$6,050,991,603.87 ",0.440134336,Diversified Banks,US,---
2857817,NFLX,Netflix Inc.,13845035,"$6,004,314,778.80 ",0.436739178,Movies & Entertainment,US,---
BNZHB81,LIN,Linde plc,15278548,"$5,913,409,217.92 ",0.43012693,Industrial Gases,IE,---
2002305,ABT,Abbott Laboratories,54208015,"$5,578,004,743.50 ",0.405730428,Health Care Equipment,US,---
2661568,ORCL,Oracle Corp.,46264088,"$5,569,733,554.32 ",0.405128802,Systems Software,US,---
2250870,DHR,Danaher Corp.,20689337,"$5,482,674,305 ",0.398796325,Life Sciences Tools & Services,US,---
2007849,AMD,Advanced Micro Devices Inc.,50158224,"$5,302,727,441.28 ",0.38570743,Semiconductors,US,---
2649100,WFC,Wells Fargo & Co.,116898978,"$4,826,758,801.62 ",0.351086635,Diversified Banks,US,---
2270726,DIS,Walt Disney Co.,56902084,"$4,761,566,389.12 ",0.346344698,Movies & Entertainment,US,---
2885409,TXN,Texas Instruments Inc.,28290641,"$4,754,525,126.46 ",0.345832534,Semiconductors,US,---
B2PKRQ3,PM,Philip Morris International Inc.,48350190,"$4,644,519,251.40 ",0.337830976,Tobacco,US,---
2463247,INTC,Intel Corp.,129942176,"$4,566,168,064.64 ",0.332131902,Semiconductors,US,---
2180201,CAT,Caterpillar Inc.,16052094,"$4,512,725,186.22 ",0.328244598,Construction Machinery & Heavy Transportation Equipment,US,---
2685717,COP,ConocoPhillips,37763694,"$4,495,012,496.82 ",0.32695622,Oil & Gas Exploration & Production,US,---
2459020,INTU,Intuit Inc.,8286898,"$4,489,924,205.38 ",0.32658611,Application Software,US,---
2023607,AMGN,Amgen Inc.,16647130,"$4,267,325,304.20 ",0.31039481,Biotechnology,US,---
2536763,LOW,Lowe's Cos. Inc.,18448034,"$4,251,902,876.32 ",0.30927302,Home Improvement Retail,US,---
2328915,NEE,NextEra Energy Inc.,63057571,"$4,212,245,742.80 ",0.306388457,Electric Utilities,US,---
2108601,BA,Boeing Co.,18735270,"$4,197,262,538.10 ",0.305298616,Aerospace & Defense,US,---
2914734,UNP,Union Pacific Corp.,19005194,"$4,191,975,640.58 ",0.30491406,Rail Transportation,US,---
2005973,IBM,International Business Machines Corp.,28290493,"$4,153,893,087.19 ",0.302144028,IT Consulting & Other Services,US,---
2090571,VZ,Verizon Communications Inc.,117889042,"$4,123,758,689.16 ",0.299952126,Integrated Telecommunication Services,US,---
2126335,BMY,Bristol-Myers Squibb Co.,65466576,"$4,036,014,410.40 ",0.293569821,Pharmaceuticals,US,---
2046552,AMAT,Applied Materials Inc.,26328117,"$4,021,883,152.92 ",0.292541948,Semiconductor Materials & Equipment,US,---
2714923,QCOM,QUALCOMM Inc.,34708009,"$3,975,108,270.77 ",0.289139658,Semiconductors,US,---
BM5M5Y3,RTX,RTX Corp.,45524715,"$3,916,946,478.60 ",0.284909111,Aerospace & Defense,US,---
BYV2325,SPGI,S&P Global Inc.,9989400,"$3,904,456,884 ",0.284000648,Financial Exchanges & Data,US,---
2640147,NKE,NIKE Inc. Class B,38364471,"$3,902,050,345.41 ",0.283825603,Footwear,US,---
2020459,HON,Honeywell International Inc.,20755609,"$3,900,809,155.46 ",0.283735321,Industrial Conglomerates,US,---
BL59CR9,GE,General Electric Co.,33938271,"$3,884,574,498.66 ",0.282554452,Industrial Conglomerates,US,---
2517382,UPS,United Parcel Service Inc. Class B,22590917,"$3,826,901,339.80 ",0.278359448,Air Freight & Logistics,US,---
B80NXX8,NOW,ServiceNow Inc.,6344504,"$3,735,834,290.32 ",0.271735453,Systems Software,US,---
B44WZD7,PLD,Prologis Inc.,28763699,"$3,572,451,415.80 ",0.259851382,Industrial REITs,US,---
BDRXDB4,BKNG,Booking Holdings Inc.,1150401,"$3,572,029,617.03 ",0.259820702,"Hotels, Resorts & Cruise Lines",US,---
2522096,LMT,Lockheed Martin Corp.,7885633,"$3,535,523,555.55 ",0.25716534,Aerospace & Defense,US,---
2842255,SBUX,Starbucks Corp.,35711537,"$3,479,732,165.28 ",0.253107211,Restaurants,US,---
2261203,DE,Deere & Co.,8308772,"$3,414,406,765.68 ",0.248355601,Agricultural & Farm Machinery,US,---
2871301,ISRG,Intuitive Surgical Inc.,10916893,"$3,413,494,103.24 ",0.248289216,Health Care Equipment,US,---
BTN1Y11,MDT,Medtronic plc,41472110,"$3,379,976,965 ",0.245851261,Health Care Equipment,IE,---
2262314,MS,Morgan Stanley,39018819,"$3,322,452,437.85 ",0.241667068,Investment Banking & Brokerage,US,---
2989301,TJX,TJX Cos. Inc.,35834855,"$3,314,007,390.40 ",0.241052796,Apparel Retail,US,---
2831811,T,AT&T Inc.,222998316,"$3,298,145,093.64 ",0.239899011,Integrated Telecommunication Services,US,---
2065308,ADP,Automatic Data Processing Inc.,12865846,"$3,275,773,050.06 ",0.238271723,Human Resource & Employment Services,US,---
BSPHGL4,ELV,Elevance Health Inc.,7383896,"$3,263,755,870.96 ",0.237397623,Managed Health Care,US,---
2407966,GS,Goldman Sachs Group Inc.,9498542,"$3,112,767,198.82 ",0.226415076,Investment Banking & Brokerage,US,---
B8CKK03,MDLZ,Mondelez International Inc. Class A,42397057,"$3,021,214,281.82 ",0.219755741,Packaged Foods & Meats,US,---
2853688,SYK,Stryker Corp.,10653964,"$3,020,931,492.20 ",0.219735171,Health Care Equipment,US,---
2567741,MMC,Marsh & McLennan Cos. Inc.,15416000,"$3,005,965,840 ",0.218646606,Insurance Brokers,US,---
2369174,GILD,Gilead Sciences Inc.,38916979,"$2,976,370,553.92 ",0.216493918,Biotechnology,US,---
2502247,LRCX,Lam Research Corp.,4184261,"$2,939,024,926.40 ",0.213777488,Semiconductor Materials & Equipment,US,---
B8KQN82,ETN,Eaton Corp. plc,12406622,"$2,858,113,510.14 ",0.207892189,Electrical Components & Equipment,IE,---
2032067,ADI,Analog Devices Inc.,15618465,"$2,839,124,567.70 ",0.20651098,Semiconductors,US,---
BK6N347,UBER,Uber Technologies Inc.,59872230,"$2,827,765,422.90 ",0.205684744,Passenger Ground Transportation,US,---
2931034,VRTX,Vertex Pharmaceuticals Inc.,8023142,"$2,794,781,284.28 ",0.203285558,Biotechnology,US,---
2494504,BLK,BlackRock Inc.,3966900,"$2,778,972,126 ",0.202135639,Asset Management & Custody Banks,US,---
2779397,SCHW,Charles Schwab Corp.,46846815,"$2,770,989,107.25 ",0.201554973,Investment Banking & Brokerage,US,---
2026082,AXP,American Express Co.,17348635,"$2,740,910,843.65 ",0.199367154,Consumer Finance,US,---
2730190,REGN,Regeneron Pharmaceuticals Inc.,3194035,"$2,639,837,987.15 ",0.192015361,Biotechnology,US,---
B7FBFL2,AMT,American Tower Corp.,14513590,"$2,631,604,138.80 ",0.191416451,Telecom Tower REITs,US,---
2779201,SLB,Schlumberger Ltd.,44390916,"$2,617,288,407.36 ",0.19037516,Oil & Gas Equipment & Services,CW,---
2577609,CVS,CVS Health Corp.,39914683,"$2,601,239,891.11 ",0.18920783,Health Care Services,US,---
B3BQMF6,CB,Chubb Ltd.,12885577,"$2,588,325,851.99 ",0.188268495,Property & Casualty Insurance,CH,---
BHJ0775,CI,Cigna Group,9217003,"$2,546,289,248.78 ",0.185210855,Health Care Services,US,---
B94Q9V0,TMUS,T-Mobile US Inc.,18679570,"$2,545,091,412.50 ",0.185123727,Wireless Telecommunication Services,US,---
2087807,BDX,Becton Dickinson & Co.,8867385,"$2,477,990,738.25 ",0.180242988,Health Care Equipment,US,---
B95WG16,ZTS,Zoetis Inc.,12958747,"$2,468,770,890.97 ",0.179572359,Pharmaceuticals,US,---
2692632,MO,Altria Group Inc.,55610664,"$2,459,103,562.08 ",0.178869181,Tobacco,US,---
2113434,BSX,Boston Scientific Corp.,45583355,"$2,458,766,168.70 ",0.17884464,Health Care Equipment,US,---
2705024,PGR,Progressive Corp.,18235794,"$2,433,931,425.18 ",0.177038222,Property & Casualty Insurance,US,---
2588184,MU,Micron Technology Inc.,34101205,"$2,385,038,277.70 ",0.173481854,Semiconductors,US,---
2297907,C,Citigroup Inc.,56918859,"$2,350,179,688.11 ",0.170946325,Diversified Banks,US,---
2318024,EOG,EOG Resources Inc.,18228843,"$2,344,593,786.66 ",0.17054002,Oil & Gas Exploration & Production,US,---
BKF2SL7,BX,Blackstone Group LP Class A,21993059,"$2,339,401,685.83 ",0.170162359,Asset Management & Custody Banks,US,---
B87ZMX0,PANW,Palo Alto Networks Inc.,9522789,"$2,316,894,563.70 ",0.168525246,Systems Software,US,---
2829601,SO,Southern Co.,34003657,"$2,303,067,688.61 ",0.167519513,Electric Utilities,US,---
BVLZX12,EQIX,Equinix Inc.,2911649,"$2,275,104,295.62 ",0.165485524,Data Center REITs,US,---
2965839,CME,CME Group Inc.,11208062,"$2,271,650,006.16 ",0.165234268,Financial Exchanges & Data,US,---
2342034,FI,Fiserv Inc.,18242388,"$2,214,443,479.32 ",0.161073205,Transaction & Payment Processing Service,US,---
2867719,SNPS,Synopsys Inc.,4741884,"$2,176,003,148.76 ",0.158277149,Application Software,US,---
BYW36M8,PYPL,PayPal Holdings Inc.,34735501,"$2,171,316,167.51 ",0.15793623,Transaction & Payment Processing Service,US,---
2480138,KLAC,KLA Corp.,4274638,"$2,145,312,573.06 ",0.156044792,Semiconductor Materials & Equipment,US,---
2575818,ATVI,Activision Blizzard Inc.,23255294,"$2,139,254,495.06 ",0.155604142,Interactive Home Entertainment,US,---
B7VD3F2,DUK,Duke Energy Corp.,24039282,"$2,134,688,241.60 ",0.155272004,Electric Utilities,US,---
BFSSDS9,ICE,Intercontinental Exchange Inc.,17412435,"$2,054,493,205.65 ",0.149438813,Financial Exchanges & Data,US,---
2011602,APD,Air Products & Chemicals Inc.,6919006,"$2,044,497,082.94 ",0.14871172,Industrial Gases,US,---
2302232,CDNS,Cadence Design Systems Inc.,8496955,"$2,043,007,860.20 ",0.148603397,Application Software,US,---
BLP1HW5,AON,Aon plc Class A,6039051,"$2,013,359,212.89 ",0.146446827,Insurance Brokers,IE,---
2457552,ITW,Illinois Tool Works Inc.,8055728,"$1,992,584,320.80 ",0.144935712,Industrial Machinery & Supplies & Components,US,---
2937667,WM,Waste Management Inc.,12682351,"$1,988,338,989.78 ",0.144626917,Environmental & Facilities Services,US,---
2804211,SHW,Sherwin-Williams Co.,7231589,"$1,964,967,363.08 ",0.142926922,Specialty Chemicals,US,---
2160753,CSX,CSX Corp.,63364875,"$1,913,619,225 ",0.139191984,Rail Transportation,US,---
2209106,CL,Colgate-Palmolive Co.,25863076,"$1,900,160,193.72 ",0.138213007,Household Products,US,---
B3K3L40,MPC,Marathon Petroleum Corp.,13205596,"$1,885,362,940.92 ",0.137136691,Oil & Gas Refining & Marketing,US,---
2595708,MMM,3M Co.,17434120,"$1,859,697,580.40 ",0.135269856,Industrial Conglomerates,US,---
2648806,NOC,Northrop Grumman Corp.,4261078,"$1,845,430,271.02 ",0.134232086,Aerospace & Defense,US,---
2142784,FDX,FedEx Corp.,7041890,"$1,838,074,127.80 ",0.133697018,Air Freight & Logistics,US,---
2259101,TGT,Target Corp.,14389846,"$1,821,035,011.30 ",0.132457635,Consumer Staples Merchandise Retail,US,---
2445063,HUM,Humana Inc.,3893206,"$1,797,220,685.78 ",0.130725439,Managed Health Care,US,---
2352118,FCX,Freeport-McMoRan Inc.,44712356,"$1,784,470,127.96 ",0.129797995,Copper,US,---
B4MGBG6,HCA,HCA Healthcare Inc.,6422848,"$1,781,055,750.40 ",0.129549641,Health Care Facilities,US,---
B65LWX6,ORLY,O'Reilly Automotive Inc.,1895275,"$1,780,989,917.50 ",0.129544853,Automotive Retail,US,---
2313405,EMR,Emerson Electric Co.,17810373,"$1,749,869,147.25 ",0.127281204,Electrical Components & Equipment,US,---
2365161,GD,General Dynamics Corp.,7693608,"$1,743,679,317.12 ",0.126830971,Aerospace & Defense,US,---
2736035,USB,US Bancorp,47687414,"$1,742,021,233.42 ",0.126710366,Diversified Banks,US,---
2378534,MCK,McKesson Corp.,4218191,"$1,739,244,513.12 ",0.126508394,Health Care Distributors,US,---
2690830,PXD,Pioneer Natural Resources Co.,7282276,"$1,732,671,928.68 ",0.12603032,Oil & Gas Exploration & Production,US,---
2671501,PH,Parker-Hannifin Corp.,3995709,"$1,665,811,082.10 ",0.121167026,Industrial Machinery & Supplies & Components,US,---
2749602,ROP,Roper Technologies Inc.,3321427,"$1,657,591,358.62 ",0.120569143,Application Software,US,---
B0X7DZ3,CMG,Chipotle Mexican Grill Inc. Class A,860036,"$1,656,979,759.04 ",0.120524657,Restaurants,US,---
B78C4Y8,PSX,Phillips 66,14346071,"$1,637,747,465.36 ",0.119125747,Oil & Gas Refining & Marketing,US,---
2145084,APH,Amphenol Corp. Class A,18530279,"$1,637,706,058.02 ",0.119122735,Electronic Components,US,---
2210614,MAR,Marriott International Inc./MD Class A,8038233,"$1,635,860,797.83 ",0.118988515,"Hotels, Resorts & Cruise Lines",US,---
2252058,MCO,Moody's Corp.,4856067,"$1,635,523,365.60 ",0.118963971,Financial Exchanges & Data,US,---
BNKJSM5,MRVL,Marvell Technology Inc.,26697972,"$1,555,156,869 ",0.113118309,Semiconductors,US,---
B8K6ZD1,WDAY,Workday Inc. Class A,6352636,"$1,553,219,502 ",0.112977389,Application Software,US,---
2359506,AJG,Arthur J Gallagher & Co.,6670847,"$1,537,496,816.56 ",0.11183376,Insurance Brokers,US,---
BMGYYH4,ABNB,Airbnb Inc. Class A,11561669,"$1,520,937,556.95 ",0.11062928,"Hotels, Resorts & Cruise Lines",US,---
2692665,PNC,PNC Financial Services Group Inc.,12447940,"$1,502,839,796.20 ",0.109312893,Diversified Banks,US,---
BK4N0D7,CARR,Carrier Global Corp.,25996900,"$1,493,521,905 ",0.108635132,Building Products,US,---
2615468,F,Ford Motor Co.,122408642,"$1,484,816,827.46 ",0.108001946,Automobile Manufacturers,US,---
2065159,ADSK,Autodesk Inc.,6687164,"$1,484,149,178.16 ",0.107953383,Application Software,US,---
B5BKPQ4,MSI,Motorola Solutions Inc.,5229805,"$1,483,015,803.85 ",0.107870944,Communications Equipment,US,---
B11FJK3,TDG,TransDigm Group Inc.,1627970,"$1,471,440,684.50 ",0.107028998,Aerospace & Defense,US,---
2304227,ECL,Ecolab Inc.,7991020,"$1,468,829,386.20 ",0.106839059,Specialty Chemicals,US,---
2041364,VLO,Valero Energy Corp.,11249891,"$1,461,360,840.90 ",0.106295815,Oil & Gas Refining & Marketing,US,---
BK9ZQ96,TT,Trane Technologies plc,7107901,"$1,458,967,759.26 ",0.106121748,Building Products,IE,---
2641894,NSC,Norfolk Southern Corp.,7099628,"$1,455,494,736.28 ",0.105869129,Rail Transportation,US,---
2065955,AZO,AutoZone Inc.,572425,"$1,448,996,575.25 ",0.105396468,Automotive Retail,US,---
2567116,EW,Edwards Lifesciences Corp.,18886050,"$1,444,216,243.50 ",0.105048759,Health Care Equipment,US,---
BN33VM5,ANET,Arista Networks Inc.,7204887,"$1,406,610,089.01 ",0.102313379,Communications Equipment,US,---
2592174,MCHP,Microchip Technology Inc.,17053793,"$1,395,682,419.12 ",0.101518527,Semiconductors,US,---
B23FN39,LULU,Lululemon Athletica Inc.,3618330,"$1,379,524,495.80 ",0.100343239,"Apparel, Accessories & Luxury Goods",US,---
2138158,SRE,Sempra,19619281,"$1,377,665,911.82 ",0.10020805,Multi-Utilities,US,---
B665KZ5,GM,General Motors Co.,41084220,"$1,376,732,212.20 ",0.100140135,Automobile Manufacturers,US,---
2852533,PSA,Public Storage,4923571,"$1,360,776,552.98 ",0.09897956,Self-Storage REITs,US,---
2197137,CTAS,Cintas Corp.,2692807,"$1,357,632,505.19 ",0.098750869,Diversified Support Services,US,---
BTGQCX1,CCI,Crown Castle Inc.,13492312,"$1,355,977,356 ",0.098630478,Telecom Tower REITs,US,---
2491839,KMB,Kimberly-Clark Corp.,10506439,"$1,353,544,536.37 ",0.098453521,Household Products,US,---
BN134B7,SNOW,Snowflake Inc. Class A,8606062,"$1,349,860,824.70 ",0.098185576,Internet Services & Infrastructure,US,---
2651086,NUE,Nucor Corp.,7828462,"$1,347,278,310.20 ",0.097997731,Steel,US,---
2047317,ADM,Archer-Daniels-Midland Co.,16972500,"$1,345,919,250 ",0.097898876,Agricultural Products & Services,US,---
2170473,STZ,Constellation Brands Inc. Class A,5149376,"$1,341,721,410.56 ",0.097593535,Distillers & Vintners,US,---
2665861,PCAR,PACCAR Inc.,16278360,"$1,339,546,244.40 ",0.097435319,Construction Machinery & Heavy Transportation Equipment,US,---
BZ6VT82,CHTR,Charter Communications Inc. Class A,3047507,"$1,335,173,766.84 ",0.097117276,Cable & Satellite,US,---
2023748,HES,Hess Corp.,8609370,"$1,330,147,665 ",0.096751689,Oil & Gas Exploration & Production,US,---
2583576,ON,ON Semiconductor Corp.,13456759,"$1,324,952,491.14 ",0.096373805,Semiconductors,US,---
2459202,IDXX,IDEXX Laboratories Inc.,2585873,"$1,322,441,310.93 ",0.096191148,Health Care Equipment,US,---
2027342,AIG,American International Group Inc.,22534844,"$1,318,739,070.88 ",0.095921856,Multi-line Insurance,US,---
2656423,ODFL,Old Dominion Freight Line Inc.,3071294,"$1,312,578,916.78 ",0.095473781,Cargo Ground Transportation,US,---
BZ07BW4,MNST,Monster Beverage Corp.,22835573,"$1,310,990,245.93 ",0.095358225,Soft Drinks & Non-alcoholic Beverages,US,---
2967181,WMB,Williams Cos. Inc.,37955533,"$1,310,604,554.49 ",0.095330171,Oil & Gas Storage & Transportation,US,---
2655408,OXY,Occidental Petroleum Corp.,20834996,"$1,308,229,398.84 ",0.095157408,Integrated Oil & Gas,US,---
B62B7C3,TEL,TE Connectivity Ltd.,9824350,"$1,300,645,696.50 ",0.094605788,Electronic Manufacturing Services,CH,---
2746711,ROST,Ross Stores Inc.,10638491,"$1,295,874,588.71 ",0.09425875,Apparel Retail,US,---
BDR73G1,IQV,IQVIA Holdings Inc.,5781723,"$1,287,184,991.49 ",0.093626689,Life Sciences Tools & Services,US,---
B2972D2,MSCI,MSCI Inc. Class A,2367165,"$1,286,838,237.30 ",0.093601467,Financial Exchanges & Data,US,---
BYVYHH4,WELL,Welltower Inc.,15497421,"$1,284,426,252.48 ",0.093426026,Health Care REITs,US,---
BKP7287,TFC,Truist Financial Corp.,41508687,"$1,268,090,387.85 ",0.092237795,Regional Banks,US,---
BG1FRR1,KKR,KKR & Co. Inc.,20135451,"$1,264,707,677.31 ",0.091991745,Asset Management & Custody Banks,US,---
2542049,D,Dominion Energy Inc.,26025206,"$1,263,263,499.24 ",0.091886699,Multi-Utilities,US,---
BY7QL61,JCI,Johnson Controls International plc,21368824,"$1,262,042,745.44 ",0.091797904,Building Products,IE,---
2026361,AFL,Aflac Inc.,16913020,"$1,261,203,901.40 ",0.091736888,Life & Health Insurance,US,---
2026242,AEP,American Electric Power Co. Inc.,16066121,"$1,259,583,886.40 ",0.091619053,Electric Utilities,US,---
B5B2106,FTNT,Fortinet Inc.,20779517,"$1,251,134,718.57 ",0.091004481,Systems Software,US,---
2670519,EXC,Exelon Corp.,30960094,"$1,242,118,971.28 ",0.090348697,Electric Utilities,US,---
B23SN61,VMW,VMware Inc. Class A,7341423,"$1,239,085,373.94 ",0.090128041,Systems Software,US,---
2367026,GIS,General Mills Inc.,18309525,"$1,238,822,461.50 ",0.090108917,Packaged Foods & Meats,US,---
BQ84ZQ6,KVUE,Kenvue Inc.,53676271,"$1,237,238,046.55 ",0.089993671,Personal Care Products,US,---
2674458,PAYX,Paychex Inc.,10100123,"$1,234,538,034.29 ",0.089797278,Human Resource & Employment Services,US,---
BYVMW06,HLT,Hilton Worldwide Holdings Inc.,8255558,"$1,227,188,696.70 ",0.089262706,"Hotels, Resorts & Cruise Lines",US,---
B0796X4,DXCM,Dexcom Inc.,12081183,"$1,219,957,859.34 ",0.088736752,Health Care Equipment,US,---
BHXCF84,DOW,Dow Inc.,22066592,"$1,203,953,259.52 ",0.087572617,Commodity Chemicals,US,---
2455965,BIIB,Biogen Inc.,4501720,"$1,203,579,859.20 ",0.087545457,Biotechnology,US,---
2208073,CPRT,Copart Inc.,26680093,"$1,196,068,569.19 ",0.086999104,Diversified Support Services,US,---
B03GQS4,DLR,Digital Realty Trust Inc.,9074338,"$1,195,271,801.36 ",0.086941149,Data Center REITs,US,---
2689560,PCG,PG&E Corp.,73097290,"$1,191,485,827 ",0.086665766,Electric Utilities,US,---
2724193,O,Realty Income Corp.,20937475,"$1,173,336,099 ",0.085345599,Retail REITs,US,---
2654364,LNG,Cheniere Energy Inc.,7187862,"$1,173,059,078.40 ",0.08532545,Oil & Gas Storage & Transportation,US,---
2769503,TRV,Travelers Cos. Inc.,7199285,"$1,160,740,720.55 ",0.084429442,Property & Casualty Insurance,US,---
2654461,COF,Capital One Financial Corp.,11308541,"$1,157,881,512.99 ",0.084221471,Consumer Finance,US,---
2089212,AME,AMETEK Inc.,7177396,"$1,144,866,435.96 ",0.083274786,Electrical Components & Equipment,US,---
BGSXTS3,MRNA,Moderna Inc.,10095742,"$1,141,525,547.94 ",0.083031778,Biotechnology,US,---
BDHLTQ5,BKR,Baker Hughes Co. Class A,31530825,"$1,141,100,556.75 ",0.083000865,Oil & Gas Equipment & Services,US,---
2250687,DHI,DR Horton Inc.,9537972,"$1,135,209,427.44 ",0.082572358,Homebuilding,US,---
2573209,MET,MetLife Inc.,17893183,"$1,133,354,211.22 ",0.082437415,Life & Health Insurance,US,---
2257019,CTSH,Cognizant Technology Solutions Corp. Class A,15786253,"$1,130,453,577.33 ",0.08222643,IT Consulting & Other Services,US,---
2754060,ROK,Rockwell Automation Inc.,3577252,"$1,116,388,804.16 ",0.081203392,Electrical Components & Equipment,US,---
2520153,A,Agilent Technologies Inc.,9161270,"$1,109,154,958.90 ",0.08067722,Life Sciences Tools & Services,US,---
BD8FDD1,TTD,Trade Desk Inc. Class A,13833972,"$1,107,132,779.16 ",0.080530132,Advertising,US,---
2098876,YUM,Yum! Brands Inc.,8541647,"$1,105,118,288.86 ",0.080383603,Restaurants,US,---
BK531S8,OTIS,Otis Worldwide Corp.,12881064,"$1,101,975,025.20 ",0.080154969,Industrial Machinery & Supplies & Components,US,---
2868165,SYY,Sysco Corp.,15806771,"$1,100,941,600.15 ",0.0800798,Food Distributors,US,---
BYVG1F6,WCN,Waste Connections Inc.,8019150,"$1,098,543,358.50 ",0.079905358,Environmental & Facilities Services,CA,---
2812452,SPG,Simon Property Group Inc.,9675698,"$1,098,094,966.02 ",0.079872743,Retail REITs,US,---
B0J7D57,AMP,Ameriprise Financial Inc.,3245593,"$1,095,647,284.94 ",0.079694705,Asset Management & Custody Banks,US,---
B4P9W92,VRSK,Verisk Analytics Inc. Class A,4515990,"$1,093,863,097.80 ",0.079564928,Research & Consulting Services,US,---
BN44JF6,APO,Apollo Global Management LLC,12396323,"$1,082,694,850.82 ",0.078752577,Diversified Financial Services,US,---
BJJP138,CRWD,Crowdstrike Holdings Inc. Class A,6637637,"$1,082,133,960.11 ",0.078711779,Systems Software,US,---
2819118,PRU,Prudential Financial Inc.,11340859,"$1,073,639,121.53 ",0.078093885,Life & Health Insurance,US,---
BK73B42,CTVA,Corteva Inc.,21078835,"$1,064,691,955.85 ",0.07744309,Fertilizers & Agricultural Chemicals,US,---
BMH4FS1,CEG,Constellation Energy Corp.,10178189,"$1,060,160,166.24 ",0.077113459,Electric Utilities,US,---
2807061,CNC,Centene Corp.,17099154,"$1,054,162,844.10 ",0.076677228,Managed Health Care,US,---
BK9DTN5,LHX,L3Harris Technologies Inc.,5906354,"$1,051,862,583.86 ",0.076509913,Aerospace & Defense,US,---
